"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"151","https://www.zumata.com",1571183216.932,1571183219.397,2.46500015258789,"no cache",9
"153","https://slate.com",1571183287.556,1571183288.606,1.04999995231628,"no cache",9
"155","https://www.smashingmagazine.com",1571183366.073,1571183366.709,0.636000156402588,"no cache",9
"157","https://edgy.app",1571183433.799,1571183434.007,0.20799994468689,"no cache",9
"159","https://www.soundslice.com",1571183502.486,1571183502.782,0.296000003814697,"no cache",9
"161","https://www.nrw-tourismus.de",1571183570.439,1571183570.981,0.54200005531311,"no cache",9
"163","https://www.petlove.com.br",1571183715.185,1571183715.809,0.624000072479248,"no cache",10
"165","https://m.alibaba.com/",1571183790.696,1571183792.085,1.38899993896484,"no cache",10
"167","https://nylon.com",1571183871.557,1571183872.184,0.627000093460083,"no cache",10
"169","https://www.zumata.com",1571183951.631,1571183953.969,2.33800005912781,"no cache",10
"171","https://slate.com",1571184022.544,1571184023.303,0.759000062942505,"no cache",10
"173","https://www.smashingmagazine.com",1571184101.41,1571184102.076,0.665999889373779,"no cache",10
"175","https://edgy.app",1571184169.939,1571184170.162,0.223000049591064,"no cache",10
"177","https://www.soundslice.com",1571184238.954,1571184239.247,0.292999982833862,"no cache",10
"179","https://www.nrw-tourismus.de",1571184307.447,1571184307.985,0.537999868392944,"no cache",10
"181","https://www.petlove.com.br",1571184452.267,1571184453.963,1.69600009918213,"no cache",11
"183","https://m.alibaba.com/",1571184528.642,1571184529.122,0.480000019073486,"no cache",11
"185","https://nylon.com",1571184609.426,1571184610.058,0.631999969482422,"no cache",11
"187","https://www.zumata.com",1571184689.172,1571184691.73,2.55800008773804,"no cache",11
"189","https://slate.com",1571184759.457,1571184760.42,0.963000059127808,"no cache",11
"191","https://www.smashingmagazine.com",1571184835.065,1571184835.714,0.648999929428101,"no cache",11
"193","https://edgy.app",1571184901.021,1571184901.219,0.198000192642212,"no cache",11
"195","https://www.soundslice.com",1571184968.844,1571184969.12,0.275999784469604,"no cache",11
"197","https://www.nrw-tourismus.de",1571185037.565,1571185038.093,0.527999877929688,"no cache",11
"199","https://www.petlove.com.br",1571185182.468,1571185183.097,0.628999948501587,"no cache",12
"201","https://m.alibaba.com/",1571185257.934,1571185259.302,1.36800003051758,"no cache",12
"203","https://nylon.com",1571185338.272,1571185338.999,0.726999998092651,"no cache",12
"205","https://www.zumata.com",1571185416.406,1571185418.845,2.43900012969971,"no cache",12
"207","https://slate.com",1571185487.465,1571185488.272,0.807000160217285,"no cache",12
"209","https://www.smashingmagazine.com",1571185565.441,1571185566.011,0.569999933242798,"no cache",12
"211","https://edgy.app",1571185634.827,1571185635.047,0.220000028610229,"no cache",12
"213","https://www.soundslice.com",1571185703.215,1571185703.505,0.290000200271606,"no cache",12
"215","https://www.nrw-tourismus.de",1571185770.588,1571185771.12,0.531999826431274,"no cache",12
"217","https://www.petlove.com.br",1571185915.283,1571185915.864,0.581000089645386,"no cache",13
"219","https://m.alibaba.com/",1571185990.394,1571185992.531,2.13699984550476,"no cache",13
"221","https://nylon.com",1571186071.838,1571186072.533,0.694999933242798,"no cache",13
"223","https://www.zumata.com",1571186151.631,1571186154.074,2.44299983978271,"no cache",13
"225","https://slate.com",1571186222.587,1571186223.333,0.746000051498413,"no cache",13
"227","https://www.smashingmagazine.com",1571186299.533,1571186300.079,0.546000003814697,"no cache",13
"229","https://edgy.app",1571186367.466,1571186367.662,0.19599986076355,"no cache",13
"231","https://www.soundslice.com",1571186435.831,1571186436.148,0.316999912261963,"no cache",13
"233","https://www.nrw-tourismus.de",1571186504.814,1571186505.348,0.534000158309937,"no cache",13
"235","https://www.petlove.com.br",1571186649.768,1571186650.396,0.628000020980835,"no cache",14
"237","https://m.alibaba.com/",1571186725.654,1571186726.925,1.27099990844727,"no cache",14
"239","https://nylon.com",1571186806.354,1571186806.92,0.565999984741211,"no cache",14
"241","https://www.zumata.com",1571186885.125,1571186887.477,2.35199999809265,"no cache",14
"243","https://slate.com",1571186956.334,1571186957.269,0.934999942779541,"no cache",14
"245","https://www.smashingmagazine.com",1571187034.27,1571187034.823,0.552999973297119,"no cache",14
"247","https://edgy.app",1571187102.133,1571187102.337,0.203999996185303,"no cache",14
